problem_idx,circuit_type,sample_idx,success,retries_used,validation_passed,spec_passed,functional_test_name,functional_metric_value,opt_efficiency,robustness_score,pnr_score,layout_area,drc_violations,sax_compiled,device_loss_db,circuit_loss_before_db,circuit_loss_after_db,total_loss_db,circuit_improvement_db,il_after_db,il_improvement_db
9,90° optical hybrid,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
10,2x2 optical switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
10,2x2 optical switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
10,2x2 optical switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
11,crossbar 4x4 switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
11,crossbar 4x4 switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
11,crossbar 4x4 switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
12,crossbar 8x8 switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
12,crossbar 8x8 switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
12,crossbar 8x8 switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
13,spanke 4x4 switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
13,spanke 4x4 switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
13,spanke 4x4 switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
14,spanke 8x8 switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
14,spanke 8x8 switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
14,spanke 8x8 switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
15,benes 4x4 switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
15,benes 4x4 switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
15,benes 4x4 switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
16,benes 8x8 switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
16,benes 8x8 switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
16,benes 8x8 switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
17,spanke–benes 4x4,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
17,spanke–benes 4x4,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
17,spanke–benes 4x4,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
18,spanke–benes 8x8,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
18,spanke–benes 8x8,1,True,0,True,False,Generic Passive Device,,0.0,0.0,0.5923198061780741,579913750000.0,0.0,False,21.299999999999997,,0.0,21.299999999999997,0.0,21.299999999999997,0.0
18,spanke–benes 8x8,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
19,u-matrix block 2x2,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
19,u-matrix block 2x2,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
19,u-matrix block 2x2,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
20,clements 4x4 interferometer,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
20,clements 4x4 interferometer,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
20,clements 4x4 interferometer,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
21,reck 4x4 mesh,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
21,reck 4x4 mesh,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
21,reck 4x4 mesh,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
22,reck 8x8 mesh,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
22,reck 8x8 mesh,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
22,reck 8x8 mesh,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
23,ring resonator add-drop filter,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
23,ring resonator add-drop filter,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
23,ring resonator add-drop filter,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
24,dual-ring resonator tunable filter,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
24,dual-ring resonator tunable filter,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
24,dual-ring resonator tunable filter,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
25,4-channel wdm cascaded mzi,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
25,4-channel wdm cascaded mzi,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
25,4-channel wdm cascaded mzi,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
26,tunable 1x4 optical switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
26,tunable 1x4 optical switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
26,tunable 1x4 optical switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
27,balanced coherent receiver front-end,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
27,balanced coherent receiver front-end,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
27,balanced coherent receiver front-end,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
28,16-channel awg demultiplexer,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
28,16-channel awg demultiplexer,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
29,2x2 thermo-optic switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
29,2x2 thermo-optic switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
29,2x2 thermo-optic switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
30,y-branch power splitter,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
30,y-branch power splitter,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
30,y-branch power splitter,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
31,wavelength-selective switch 1x8,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
31,wavelength-selective switch 1x8,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
31,wavelength-selective switch 1x8,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
32,2x2 pcm switch,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
32,2x2 pcm switch,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
32,2x2 pcm switch,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
33,optical delay line,0,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
33,optical delay line,1,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
33,optical delay line,2,False,2,False,False,,,0.0,0.0,,,,,,,,,,,
34,simple mmi 1x2 splitter,0,True,0,True,False,Generic Passive Device,,0.0,0.0,0.3507692307692309,65000000.0,0.0,False,0.3,,0.0,0.3,0.0,0.3,0.0
